epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,14058,0.69525,0.59827,1.06296,0.84169,0.80861,0.87305,0.69391,0.83397,0.63011,1.10739,0.003268,0.003268,0.003268
104,14194.4,0.69046,0.59357,1.06112,0.84202,0.80783,0.87307,0.69401,0.83431,0.62979,1.10778,0.003202,0.003202,0.003202
105,14331.3,0.6875,0.59159,1.05746,0.84197,0.80918,0.87286,0.69447,0.83462,0.62943,1.10822,0.003136,0.003136,0.003136
106,14467.8,0.68195,0.58483,1.05674,0.84081,0.81077,0.87301,0.69428,0.83489,0.62908,1.10842,0.00307,0.00307,0.00307
107,14604.3,0.68264,0.58969,1.06189,0.84155,0.80931,0.87329,0.69412,0.83475,0.62916,1.10847,0.003004,0.003004,0.003004
108,14740.8,0.67873,0.58348,1.05484,0.84852,0.80336,0.87315,0.69379,0.83489,0.62901,1.1087,0.002938,0.002938,0.002938
109,14877,0.67691,0.5787,1.05426,0.84829,0.80327,0.87313,0.69407,0.83507,0.62909,1.10897,0.002872,0.002872,0.002872
110,15012.7,0.67094,0.5734,1.0511,0.84914,0.80245,0.87308,0.69391,0.83489,0.62888,1.10881,0.002806,0.002806,0.002806
111,15148.7,0.67171,0.57431,1.05315,0.84754,0.80432,0.87279,0.69396,0.835,0.6284,1.10895,0.00274,0.00274,0.00274
112,15284.5,0.67006,0.56663,1.05028,0.85158,0.80134,0.87272,0.69378,0.83538,0.6285,1.10935,0.002674,0.002674,0.002674
113,15420.7,0.66658,0.56281,1.04725,0.85243,0.80088,0.87243,0.69374,0.83531,0.62847,1.10935,0.002608,0.002608,0.002608
114,15556.2,0.66627,0.56104,1.04811,0.85301,0.79955,0.87235,0.69354,0.83576,0.62832,1.10969,0.002542,0.002542,0.002542
115,15692.7,0.65641,0.55175,1.04068,0.8547,0.79824,0.87207,0.69372,0.83595,0.62829,1.10998,0.002476,0.002476,0.002476
116,15829.4,0.66058,0.54948,1.04374,0.85448,0.79939,0.87181,0.6936,0.83634,0.62824,1.11029,0.00241,0.00241,0.00241
117,15966.1,0.65163,0.54396,1.04015,0.85693,0.79724,0.87176,0.69352,0.83642,0.62826,1.11022,0.002344,0.002344,0.002344
118,16101.9,0.65169,0.53896,1.03967,0.85556,0.79856,0.87155,0.69365,0.83676,0.62824,1.11048,0.002278,0.002278,0.002278
