epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,14590.4,0.7242,0.64505,1.08377,0.85151,0.80486,0.87337,0.69039,0.83519,0.63753,1.1115,0.004126,0.004126,0.004126
91,14751.5,0.72436,0.64354,1.08224,0.85176,0.80417,0.87344,0.6904,0.83549,0.63695,1.11179,0.00406,0.00406,0.00406
92,14911.8,0.71548,0.63654,1.07982,0.85217,0.80358,0.87341,0.69072,0.835,0.63642,1.11157,0.003994,0.003994,0.003994
93,15073.2,0.71205,0.63266,1.0788,0.85397,0.80055,0.87323,0.6907,0.8349,0.63596,1.1115,0.003928,0.003928,0.003928
94,15234.7,0.71205,0.63314,1.07558,0.85198,0.80268,0.87332,0.69071,0.83485,0.63577,1.11153,0.003862,0.003862,0.003862
95,15396,0.70924,0.62714,1.07712,0.84979,0.80497,0.87321,0.69066,0.8349,0.63549,1.11165,0.003796,0.003796,0.003796
96,15556.7,0.7098,0.62089,1.07424,0.85055,0.80414,0.87312,0.69064,0.8348,0.63465,1.11164,0.00373,0.00373,0.00373
97,15717.2,0.70792,0.61741,1.07307,0.84925,0.80598,0.87317,0.69056,0.83462,0.63411,1.11136,0.003664,0.003664,0.003664
98,15877.8,0.6997,0.61674,1.07031,0.84941,0.80621,0.87309,0.69058,0.83482,0.63398,1.11155,0.003598,0.003598,0.003598
99,16038.2,0.70328,0.61503,1.07073,0.84405,0.81015,0.87306,0.69052,0.83481,0.63381,1.11157,0.003532,0.003532,0.003532
100,16198.8,0.69471,0.61041,1.06683,0.84406,0.81107,0.87302,0.6906,0.835,0.63389,1.11163,0.003466,0.003466,0.003466
101,16360.4,0.69504,0.60677,1.06763,0.84149,0.81277,0.87274,0.6903,0.83545,0.6338,1.11232,0.0034,0.0034,0.0034
102,16522,0.69663,0.59992,1.06598,0.84176,0.81324,0.87285,0.6905,0.83581,0.63322,1.11251,0.003334,0.003334,0.003334
103,16684,0.69537,0.59601,1.06422,0.84198,0.81287,0.87248,0.69048,0.83628,0.63268,1.11283,0.003268,0.003268,0.003268
104,16845.9,0.68916,0.59342,1.06157,0.84334,0.81183,0.87246,0.69056,0.83656,0.63249,1.11317,0.003202,0.003202,0.003202
105,17007.7,0.68827,0.59046,1.05972,0.84097,0.81316,0.87247,0.69056,0.83626,0.63249,1.11289,0.003136,0.003136,0.003136
106,17169.6,0.68188,0.58338,1.05746,0.84083,0.81437,0.87264,0.69083,0.83658,0.63219,1.11318,0.00307,0.00307,0.00307
107,17331.4,0.68139,0.58608,1.06128,0.84115,0.81303,0.87264,0.69058,0.83713,0.63221,1.11366,0.003004,0.003004,0.003004
108,17493.1,0.67756,0.58187,1.05414,0.83892,0.81455,0.87248,0.69057,0.83726,0.63204,1.11404,0.002938,0.002938,0.002938
